Physical_activity,free_programs,"3. In the past year have you visited a library branch, accessed the library online or contacted the library by telephone?",frequency_internet,participation_volunteer,TTC,Walk,Drive,Cycle,Taxi,Community program,Wheel-Trans,Rides from others,Frequently_use_TTC,Other services,Driving is faster,Prefer driving,Not affordable,Distance,Stations not accessible,Vehicles not accessible,Crowded,Announcement hard to hear,Not safe,Major repairs,Accessible modification,No,difficulty,10. Which term(s) do you prefer when referring to people aged 65 and older? [Elders],10. Which term(s) do you prefer when referring to people aged 65 and older? [Mature Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Persons],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Residents],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Torontonians],10. Which term(s) do you prefer when referring to people aged 65 and older? [Senior Citizens],10. Which term(s) do you prefer when referring to people aged 65 and older? [Seniors],Accessibility,Civic Engagement,Communication and Information,Food Access,Health Care and Home Care Services,Housing Affordability and Availability,Income and Employment,Recreation and Community Services,Respect and Social Inclusion,Safety and Security,Transportation Issues,City of Toronto website,Internet search engine,Calling 311,Calling 211,Local ward councillor,Service directory,"Posters, etc.",Workers in community,Faith group,Word of mouth,people_help,14. What are the first three characters of your postal code?,employment_status,gender,16. What is your sex/gender? [other],Understand spoken English,Speak,Read,None,service_language,18. In what language(s) would you feel most comfortable to receive services? [other],age_group
At least a few times each week,Yes,No,At least a few times a week,At least once a month,NA,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,Yes,M2M,Employed full-time,Male,NA,NA,1,1,NA,English,NA,60-64 years
At least once a day,Yes,No,At least once a day,At least once a day,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Yes,M2M,Retired,Male,NA,1,1,1,NA,English,NA,85 years or older
At least a few times each week,No,No,At least a few times a week,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,No,M2M,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,Yes,At least once a day,At least once a week,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M2M,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,English,NA,75-79 years
At least a few times each week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,M2M,Employed full-time,Female,NA,NA,NA,1,NA,Chinese (Mandarin),NA,60-64 years
At least once a day,Yes,Yes,At least once a day,At least once a month,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M2M,NA,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a week,Yes,No,At least once a day,At least once a month,1,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M2M,Retired,Female,NA,1,NA,NA,NA,Chinese (Cantonese),NA,60-64 years
At least a few times each week,No,No,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,Yes,M2M,Unable to work for health or other reasons,Female,NA,1,1,1,NA,NA,NA,55-59 years
At least a few times each week,Yes,No,At least once a day,At least once a week,1,1,1,NA,1,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,Yes,M2M,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,Yes,No,At least once a day,At least a few times a week,1,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,Yes,M2M,Retired,Female,NA,1,1,1,NA,English,NA,80-84 years
At least once a day,Yes,No,At least once a day,At least once a day,1,NA,1,NA,NA,NA,1,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,Yes,M2M,Retired,Male,NA,1,1,1,NA,English,NA,85 years or older
At least once a day,No,Yes,At least once a day,Never,1,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,M2M,Employed part-time,Male,NA,1,1,1,NA,Tamil,NA,Less than 54 years
At least a few times each week,Yes,Yes,At least once a month,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,Yes,M2M,Retired,Female,NA,NA,NA,NA,1,Spanish,NA,75-79 years
At least once a day,Yes,Yes,At least once a day,Never,1,1,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,Yes,M2M,Retired,Female,NA,1,1,1,NA,Chinese (Cantonese),NA,60-64 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,Yes,M2M,Retired,Male,NA,1,1,1,NA,Vietnamese,NA,70-74 years
At least once a week,Yes,Yes,Never,At least a few times a week,1,1,1,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,No,M2M,Unable to work for health or other reasons,Female,NA,1,1,1,NA,Spanish,NA,65-69 years
At least a few times each week,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,NA,1,1,NA,English,NA,75-79 years
At least a few times each week,Yes,Yes,Never,Never,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,85 years or older
At least once a day,No,Yes,At least once a day,Never,NA,NA,NA,NA,NA,NA,1,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,80-84 years
At least once a week,Yes,No,NA,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,NA,1,1,NA,English,NA,70-74 years
At least a few times each week,Yes,Yes,Never,Never,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,m2m,Retired,NA,NA,NA,NA,NA,NA,NA,NA,NA
At least once a day,Yes,Yes,Never,At least once a day,1,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least once a day,Yes,Yes,At least once a day,At least a few times a week,1,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,85 years or older
At least once a week,Yes,No,At least once a day,At least once a month,1,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,No,m2m,"Unemployed, looking for work",Female,NA,1,1,1,NA,Chinese (Cantonese),NA,55-59 years
At least once a day,No,Yes,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,English,NA,75-79 years
At least once a day,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,NA,NA,NA,English,NA,80-84 years
At least a few times each week,Yes,NA,At least once a week,Never,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,85 years or older
At least a few times each week,Yes,Yes,At least once a day,Never,1,NA,NA,1,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,m2m,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,NA,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,80-84 years
At least once a day,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,Yes,m2m,Retired,Male,NA,NA,NA,NA,NA,NA,NA,NA
At least a few times each week,Yes,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,Yes,m2m,Retired,Female,NA,NA,1,NA,NA,English,NA,80-84 years
At least a few times each week,No,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,Yes,No,At least once a day,At least once a month,NA,NA,1,NA,1,NA,NA,1,No,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,No,m2m,Retired,Female,NA,1,1,1,NA,English,NA,80-84 years
At least a few times each week,Yes,No,Never,Never,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,NA,NA,85 years or older
At least once a day,No,No,Never,Never,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,NA,NA,85 years or older
At least a few times each week,No,No,Never,At least once a month,NA,NA,NA,NA,1,NA,1,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,NA,NA,75-79 years
At least once a day,No,No,Never,Never,NA,NA,NA,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,Other,german,75-79 years
At least once a week,Yes,No,Never,Never,NA,NA,NA,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,Other,german,85 years or older
At least once a week,No,No,Never,Never,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,Yes,m2m,Retired,Female,NA,1,1,1,NA,English,NA,85 years or older
At least once a week,No,No,Never,Never,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,1,NA,NA,NA,85 years or older
At least once a day,No,Yes,At least once a day,Never,NA,1,NA,NA,1,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Unable to work for health or other reasons,Female,NA,1,1,1,NA,NA,NA,Less than 54 years
At least once a day,Yes,Yes,Never,At least once a week,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,Hindi,NA,80-84 years
At least a few times each week,No,No,Never,Never,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,1,1,NA,NA,Chinese (Cantonese),NA,85 years or older
At least once a day,No,No,Never,Never,NA,NA,NA,NA,1,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Female,NA,NA,NA,NA,NA,Chinese (Mandarin),NA,85 years or older
At least a few times each week,No,Yes,At least a few times a week,At least a few times a week,NA,NA,NA,1,NA,NA,NA,NA,No,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,M2M,Employed part-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least once a day,Yes,Yes,At least once a day,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,M2M,Unable to work for health or other reasons,Female,NA,1,1,1,NA,NA,NA,60-64 years
At least once a day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M2M,NA,Female,NA,1,1,1,NA,NA,NA,85 years or older
At least a few times each week,Yes,No,At least once a day,Never,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,M2M,Retired,Female,NA,NA,1,1,NA,English,NA,80-84 years
At least once a day,No,No,At least once a month,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,No,M2M,Retired,Female,NA,1,1,1,NA,NA,NA,75-79 years
At least a few times each week,No,Yes,At least once a day,At least once a week,1,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,m2m,Retired,Male,NA,1,1,1,NA,NA,NA,75-79 years
At least once a day,No,NA,At least once a day,At least once a day,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,Yes,m2m,Employed full-time,Male,NA,1,1,1,NA,NA,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,Never,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,Yes,m2m,Unable to work for health or other reasons,Male,NA,1,1,1,NA,NA,NA,Less than 54 years
At least a few times each week,Yes,NA,Never,At least once a month,1,NA,NA,NA,NA,NA,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Yes,M2M,Retired,Female,NA,1,1,1,NA,Tamil,NA,70-74 years
At least once a week,No,No,At least once a day,At least a few times a week,1,1,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Yes,m2m,Unable to work for health or other reasons,Female,NA,1,1,1,NA,NA,NA,70-74 years
At least a few times each week,Yes,Yes,Never,NA,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,Yes,M2M,Unable to work for health or other reasons,Female,NA,1,NA,NA,NA,NA,NA,65-69 years
At least once a week,Yes,Yes,At least a few times a week,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,1,No,M2M,"Unemployed, looking for work",Female,NA,1,1,1,NA,Chinese (Cantonese),NA,55-59 years
At least once a day,No,No,Never,Never,1,1,NA,NA,NA,NA,NA,1,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,M2M,Retired,Male,NA,1,NA,NA,NA,Chinese (Cantonese),NA,85 years or older
At least a few times each week,Yes,Yes,At least a few times a week,At least a few times a week,NA,1,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,Yes,M2M,Employed full-time,Male,NA,1,1,1,NA,Chinese (Mandarin),NA,NA
At least once a day,No,No,At least once a day,At least once a month,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Yes,M2M,Employed part-time,Female,NA,NA,NA,NA,1,Chinese (Mandarin),NA,70-74 years
Never,Yes,Yes,At least once a day,At least once a day,1,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,Yes,M2M,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least a few times each week,No,Yes,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,Yes,M2M,Retired,Male,NA,1,1,1,NA,English,NA,75-79 years
